rid,unikey,ckey,subkey,pkey,figs,type,nkey,taxon,abbrev_taxon,fullname,subgen,genus,family,epithets,keystr,ctxt,fkey,sex,docn,kcnt,page
141,Acartia_44b,44b,b,,7,1,,Acartia sinjiensis,A.  sinjiensis,"Acartia (Acanthacartia) sinjiensis (Mori, 1940)",Acanthacartia,Acartia,Acartiidae,sinjiensis,"Genital somite symmetrical. Right leg 5 exopod segment 2, inner process with truncated terminal end","<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_44b"">44b</mark>&nbsp;Genital somite symmetrical. Right leg 5 exopod segment 2, inner process with truncated terminal end</span><span class=""keycol""><mark id=""taxon_Acartia_sinjiensis_male""><em><a href=""#figs_Acartia_sinjiensis"">Acartia sinjiensis</a></em></mark></span></p></div><br><br>",Acartia_sinjiensis_01,male,1,90,4
167,Acartia_35a_40a_bifilosa_fig,,,,"1,2",2,,Acartia bifilosa,A. bifilosa,"Acartia (Acanthacartia) bifilosa (Giesbrecht, 1881)",Acanthacartia,Acartia,Acartiidae,bifilosa,"","<div id=""figs_Acartia_bifilosa""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Acanthacartia) bifilosa</em> (Giesbrecht, 1881) (size: <a href=""#key_Acartia_35a"">female</a>, 0.67-1.25 mm; <a href=""#key_Acartia_40a"">male</a>, 0.67-1.25 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_bifilosa_01""><img src=""assets/img/sp_thumb/Acartia_bifilosa_01.png"" border=""0"" /></a><span id=""fig_Acartia_bifilosa_01"" class=""spcap"">Mazzocchi</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_bifilosa_02""><img src=""assets/img/sp_thumb/Acartia_bifilosa_02.png"" border=""0"" /></a><span id=""fig_Acartia_bifilosa_02"" class=""spcap"">Original</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Acanthacartia) bifilosa</em> (Giesbrecht, 1881)</span></div><div class=""fig_cap""><span class=""spcap"">Mazzocchi, 2006: pl. 81. <em>Acartia (Acanthacartia) bifilosa</em> (Giesbrecht, 1881). <strong>Female</strong>. a. habitus (dorsal); b/c. urosome (dorsal/lateral); d/e. left leg 5. <strong>Male</strong>. f. habitus (dorsal); g. urosome (lateral); h. leg 5 (anterior).</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed may 27 2021].</span></div><br><div class=""fig_cap""><span class=""spcap"">Original. <em>Acartia (Acanthacartia) bifilosa</em> (Giesbrecht, 1881), <strong>Female</strong>, 1.16 mm, Taiwan Strait. habitus (dorsal/lateral)</span></div></div><br><br>","Acartia_bifilosa_01,Acartia_bifilosa_02",,1,91,4
177,Acartia_38a_40b_bilobata_fig,,,,"3,4",2,,Acartia bilobata,A.  bilobata,"Acartia (Acanthacartia) bilobata (Braham, 1970)",Acanthacartia,Acartia,Acartiidae,bilobata,"","<div id=""figs_Acartia_bilobata""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Acanthacartia) bilobata</em> (Braham, 1970) (size: <a href=""#key_Acartia_38a"">female</a>, 0.95-1.10 mm; <a href=""#key_Acartia_40b"">male</a>, 0.90-0.95 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_bilobata_01""><img src=""assets/img/sp_thumb/Acartia_bilobata_01.png"" border=""0"" /></a><span id=""fig_Acartia_bilobata_01"" class=""spcap"">Female</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_bilobata_02""><img src=""assets/img/sp_thumb/Acartia_bilobata_02.png"" border=""0"" /></a><span id=""fig_Acartia_bilobata_02"" class=""spcap"">Male</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Acanthacartia) bilobata</em> (Braham, 1970)</span></div><div class=""fig_cap""><span class=""spcap"">Original. <em>Acartia (Acanthacartia) bilobata</em> Braham, 1970, <strong>Female</strong>, 1.06 mm, NTOU aquarium: a/b. habitus (dorsal/lateral); c. leg 5 (posterior). Scales: a, b = 0.5 mm; c = 0.1 mm. <strong>Male</strong>, 0.92 mm, NTOU aquarium: a/b. Habitus (dorsal/lateral); c. leg 5 (posterior). Scales: a, b = 0.5 mm; c = 0.2 mm.</span></div></div><br><br>","Acartia_bilobata_01,Acartia_bilobata_02",,1,92,4
186,Acartia_36a_43a_fossae_fig,,,,"5,6",2,,Acartia fossae,A.  fossae,"Acartia (Acanthacartia) fossae (Gurney, 1927)",Acanthacartia,Acartia,Acartiidae,fossae,"","<div id=""figs_Acartia_fossae""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Acanthacartia) fossae</em> (Gurney, 1927) (size: <a href=""#key_Acartia_36a"">female</a>, 1.03-1.40 mm; <a href=""#key_Acartia_43a"">male</a>, 0.91-1.30 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_fossae_01""><img src=""assets/img/sp_thumb/Acartia_fossae_01.png"" border=""0"" /></a><span id=""fig_Acartia_fossae_01"" class=""spcap"">Female</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_fossae_02""><img src=""assets/img/sp_thumb/Acartia_fossae_02.png"" border=""0"" /></a><span id=""fig_Acartia_fossae_02"" class=""spcap"">Male</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Acanthacartia) fossae</em> (Gurney, 1927)</span></div><div class=""fig_cap""><span class=""spcap"">Chihara & Murano, 1997..fig.7 a-c. <em>Acartia (Acanthacartia) fossae</em> Gurney, 1927, <strong>Female</strong>: a, habitus (dorsal); b, P5; c, last thoracic segment and urosome (dorsal). Nota: numbers show characteristics of this species to compare with <em>A. tumida</em>, <em>A. steueri</em>. Pl. 19, fig.7 a-c. <strong>Male</strong>: a, ０abitus (dorsal); b, last thoracic segment and urosome (dorsal) c, leg 5. Nota: numbers show characteristics of this species to compare with <em>A. steueri</em>, <em>A. tumida</em>. Pl. 19, fig.7 a-d].</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_fossae_01,Acartia_fossae_02",,1,93,4
195,Acartia_38c_44b_sinjiensis_fig,,,,7,2,,Acartia sinjiensis,A.  sinjiensis,"Acartia (Acanthacartia) sinjiensis (Mori, 1940)",Acanthacartia,Acartia,Acartiidae,sinjiensis,"","<div id=""figs_Acartia_sinjiensis""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Acanthacartia) sinjiensis</em> (Mori, 1940) (size: <a href=""#key_Acartia_38c"">female</a>, 0.86-1.10 mm; <a href=""#key_Acartia_44b"">male</a>, 0.80-1.03 mm)</span></div><span class=""nfig""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_sinjiensis_01""><img src=""assets/img/sp_thumb/Acartia_sinjiensis_01.png"" border=""0"" /></a><span id=""fig_Acartia_sinjiensis_01"" class=""spcap"">Mulyadi</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Acanthacartia) sinjiensis</em> (Mori, 1940)</span></div><div class=""fig_cap""><span class=""spcap"">Mulyadi, 2004. Fig. 84. As <em>Acartia (Acartiura) sinjiensis</em>. <strong>Female</strong> (from Java). a. habitus (dorsal); b. forehead (ventral); c-d, posterior part of last thoracic segment and urosome (dorsal and lateral, respectively); e, P5. <strong>Male</strong>: f, habitus (dorsal); h, P5.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>",Acartia_sinjiensis_01,,1,94,4
207,Acartia_37a_41a_steueri_fig,,,,"8,9",2,,Acartia steueri,A.  steueri,"Acartia (Acanthacartia) steueri (Smirnov, 1936)",Acanthacartia,Acartia,Acartiidae,steueri,"","<div id=""figs_Acartia_steueri""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Acanthacartia) steueri</em> (Smirnov, 1936) (size: <a href=""#key_Acartia_37a"">female</a>, 1.10-1.70 mm; <a href=""#key_Acartia_41a"">male</a>, 0.90-1.31 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_steueri_01""><img src=""assets/img/sp_thumb/Acartia_steueri_01.png"" border=""0"" /></a><span id=""fig_Acartia_steueri_01"" class=""spcap"">Smirnov</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_steueri_02""><img src=""assets/img/sp_thumb/Acartia_steueri_02.png"" border=""0"" /></a><span id=""fig_Acartia_steueri_02"" class=""spcap"">Tanaka</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Acanthacartia) steueri</em> (Smirnov, 1936)</span></div><div class=""fig_cap""><span class=""spcap"">S. Smirnov, 1936. Fig.1-3. <em>Acartia (Acanthacartia) steueri</em> Smirnov, 1936, <strong>Female</strong> (from Belzow and Petrow Is.: off Vladivostok): 1, urosome (dorsal); 2, leg 5. <strong>Male</strong>: 3, leg 5.</span></div><br><div class=""fig_cap""><span class=""spcap"">O. Tanaka, 1965. <em>Acartia (Acanthacartia) steueri</em> Smirnov, 1936, Fig.245. <strong>Female</strong>: a, habitus (dorsal); b, forehead (left lateral side); c, last thoracic segment and urosome (left lateral side); d, leg 5; e, proximal portion of A1. <strong>Male</strong>: f, last thoracic segment and urosome (left lateral side); g, P5.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_steueri_01,Acartia_steueri_02",,1,95,4
217,Acartia_38b_43b_tsuensis_fig,,,,"10,11",2,,Acartia tsuensis,A.  tsuensis,"Acartia (Acanthacartia) tsuensis (Ito, 1956)",Acanthacartia,Acartia,Acartiidae,tsuensis,"","<div id=""figs_Acartia_tsuensis""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Acanthacartia) tsuensis</em> (Ito, 1956) (size: <a href=""#key_Acartia_38b"">female</a>, 0.89-1.00 mm; <a href=""#key_Acartia_43b"">male</a>, 0.80-0.90 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_tsuensis_01""><img src=""assets/img/sp_thumb/Acartia_tsuensis_01.png"" border=""0"" /></a><span id=""fig_Acartia_tsuensis_01"" class=""spcap"">Ito</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_tsuensis_02""><img src=""assets/img/sp_thumb/Acartia_tsuensis_02.png"" border=""0"" /></a><span id=""fig_Acartia_tsuensis_02"" class=""spcap"">Takahashi & Ohno</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Acanthacartia) tsuensis</em> (Ito, 1956)</span></div><div class=""fig_cap""><span class=""spcap"">T. Ito, 1956, 471, Fig.2. <strong>Female</strong> (from brackish ponds, Kumozu and Heta regions, middle Japan): a, habitus (dorsal); b, last thoracic segment and urosome (dorsal); c, forehead (ventral); d-g, P1 to P4; h, P5. <strong>Male</strong>, i, leg 5.</span></div><br><div class=""fig_cap""><span class=""spcap"">T. Takahashi & A. Ohno, 1996. A, leg 5; B, urosome (dorsal). <strong>Male</strong>: C, leg 5; D, urosome (dorsal).</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_tsuensis_01,Acartia_tsuensis_02",,1,96,4
225,Acartia_37b_44a_tumida_fig,,,,12,2,,Acartia tumida,A.  tumida,"Acartia (Acanthacartia) tumida (Willey, 1920)",Acanthacartia,Acartia,Acartiidae,tumida,"","<div id=""figs_Acartia_tumida""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Acanthacartia) tumida</em> (Willey, 1920) (size: <a href=""#key_Acartia_37b"">female</a>, 2.00-2.70 mm; <a href=""#key_Acartia_44a"">male</a>, 1.80-2.10 mm)</span></div><span class=""nfig""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_tumida_01""><img src=""assets/img/sp_thumb/Acartia_tumida_01.png"" border=""0"" /></a><span id=""fig_Acartia_tumida_01"" class=""spcap""></span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Acanthacartia) tumida</em> (Willey, 1920)</span></div><div class=""fig_cap""><span class=""spcap"">K.A. Brodskii, 1950. Fig.303. <em>Acartia (Acanthacartia) tumida</em> Willey, 1920. <strong>Female</strong> (from Bering Sea): habitus (dorsal and lateral right side); R, rostrum; last thoracic segment and urosome (dorsal); S5, P5. <strong>Male</strong>: urosome (dorsal); S5, P5.Nota: Abdomen 5-segmented. Lateral bristle of distal segment of left P5 exceeding the segment in length, same segment bearing long apical spine.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>",Acartia_tumida_01,,1,97,4
233,Acartia_14a_danae_fig,,,,"13,14",2,,Acartia danae,A.  danae,"Acartia (Acartia) danae (Giesbrecht, 1889)",Acartia,Acartia,Acartiidae,danae,"","<div id=""figs_Acartia_danae""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia</em> (<em>Acartia</em>) <em>danae</em> (Giesbrecht, 1889) (size: <a href=""#key_Acartia_14a"">female</a>, 0.90-1.34 mm; <a href=""#key_Acartia_14a"">male</a>, 0.70-1.10 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_danae_01""><img src=""assets/img/sp_thumb/Acartia_danae_01.png"" border=""0"" /></a><span id=""fig_Acartia_danae_01"" class=""spcap"">Chen/Zhang</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_danae_02""><img src=""assets/img/sp_thumb/Acartia_danae_02.png"" border=""0"" /></a><span id=""fig_Acartia_danae_02"" class=""spcap"">Tanaka</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia</em> (<em>Acartia</em>) <em>danae</em> (Giesbrecht, 1889)</span></div><div class=""fig_cap""><span class=""spcap"">Q.-c Chen & S.-z. Zhang, 1965, 7. [Pl.50, 7-10]. <em>Acartia</em> (<em>Acartia</em>) <em>danae</em> Giesbrecht, 1889, <strong>Female</strong> (from E China Sea): 7, habitus (dorsal); 8, right P5 (anterior). <strong>Male</strong>: 9, urosome (dorsal); 10, leg 5 (posterior).</span></div><br><div class=""fig_cap""><span class=""spcap"">O. Tanaka, 1965, XII (5). [p.393, Fig.248]; As <em>Acartia (Planktacartia) denae. Acartia</em> (<em>Acartia</em>) <em>danae</em> Giesbrecht, 1889, <strong>Female</strong>: a, habitus (dorsal); b, last thoracic segment and urosome (left lateral side); c, last thoracic segment and genital somite (right lateral side); d, leg 5.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_danae_01,Acartia_danae_02",,1,98,2
241,Acartia_14b_negligens_fig,,,,"15,16",2,,Acartia negligens,A.  negligens,"Acartia (Acartia) negligens (Dana, 1849)",Acartia,Acartia,Acartiidae,negligens,"","<div id=""figs_Acartia_negligens""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia</em> (<em>Acartia</em>) <em>negligens</em> (Dana, 1849) (size: <a href=""#key_Acartia_14b"">female</a>, 0.80-1.10 mm; <a href=""#key_Acartia_14b"">male</a>, 0.90-1.10 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_negligens_01""><img src=""assets/img/sp_thumb/Acartia_negligens_01.png"" border=""0"" /></a><span id=""fig_Acartia_negligens_01"" class=""spcap"">Greenwood</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_negligens_02""><img src=""assets/img/sp_thumb/Acartia_negligens_02.png"" border=""0"" /></a><span id=""fig_Acartia_negligens_02"" class=""spcap"">Bradford-Grieve</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia</em> (<em>Acartia</em>) <em>negligens</em> (Dana, 1849)</span></div><div class=""fig_cap""><span class=""spcap"">Greenwood, 1978, 89. [p.14, Fig.6]. <em>Acartia</em> (<em>Acartia</em>) <em>negligens</em> Dana, 1849, <strong>Female</strong> (from Moreton Bay, E Australia):a, postrior metasome and urosome (dorsal); c, leg 5 with outer ramus truncated; d, leg 5. <strong>Male</strong>: b, posterior prosome and urosome (dorsal); e,</span></div><br><div class=""fig_cap""><span class=""spcap"">Bradford-Grieve, 1999. [p.221, Fig.163]. <em>Acartia</em> (<em>Acartia</em>) <em>negligens</em> Dana, 1849, <strong>Male</strong>: E, habitus (dorsal); F, urosome (dorsal); G, P5 (L = left leg; R = right leg).</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_negligens_01,Acartia_negligens_02",,1,99,2
250,Acartia_08a_12a_clausi_fig,,,,"17,18",2,,Acartia clausi,A.  clausi,"Acartia (Acartiura) clausi (Giesbrecht, 1889)",Acartiura,Acartia,Acartiidae,clausi,"","<div id=""figs_Acartia_clausi""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Acartiura) clausi</em> (Giesbrecht, 1889) (size: <a href=""#key_Acartia_8a"">female</a>, 0.70-1.47 mm; <a href=""#key_Acartia_12a"">male</a>, 0.68-1.31 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_clausi_01""><img src=""assets/img/sp_thumb/Acartia_clausi_01.png"" border=""0"" /></a><span id=""fig_Acartia_clausi_01"" class=""spcap"">Bradford-Grieve, 1999</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_clausi_02""><img src=""assets/img/sp_thumb/Acartia_clausi_02.png"" border=""0"" /></a><span id=""fig_Acartia_clausi_02"" class=""spcap"">Boxshall & Halsey, 2004</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Acartiura) clausi</em> (Giesbrecht, 1889)</span></div><div class=""fig_cap""><span class=""spcap"">Bradford-Grieve, 1999. Figs 1a-g. As <em>Acartia (Acartiura) clausi</em> <strong>Female</strong> 1a/b, bitus (dorsal/ateral) 1c/d, genital double-somite (dorsal/lateral), 1e, leg 5. <strong>Male</strong>, 1f, leg 5 1 g pediger 5 and urosome lateral).</span></div><br><div class=""fig_cap""><span class=""spcap"">Boxshall & Halsey, 2004: Fig.2. <em>Acartia (Acartiura) clausi</em> Giesbrecht, 1889, <strong>Female</strong>, <em>A. habitus</em> (dorsal), B. leg 5. <strong>Male</strong>. leg 5/ D. maxilliped, E. antenna. A-C from Sars, 1903, D-E from Huys & Boxshall, 1991.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_clausi_01,Acartia_clausi_02",,1,100,1
261,Acartia_09b_13b_hongi_fig,,,,"19,20",2,,Acartia hongi,A.  hongi,"Acartia (Acartiura) hongi (Soh & Suh, 2000)",Acartiura,Acartia,Acartiidae,hongi,"","<div id=""figs_Acartia_hongi""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Acartiura) hongi</em> (Soh & Suh, 2000) (size: <a href=""#key_Acartia_9b"">female</a>, 0.80-1.19; <a href=""#key_Acartia_13b"">male</a>, 0.70-1.04 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_hongi_01""><img src=""assets/img/sp_thumb/Acartia_hongi_01.png"" border=""0"" /></a><span id=""fig_Acartia_hongi_01"" class=""spcap"">Shen/Bai</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_hongi_02""><img src=""assets/img/sp_thumb/Acartia_hongi_02.png"" border=""0"" /></a><span id=""fig_Acartia_hongi_02"" class=""spcap"">Chen/Zhang</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Acartiura) hongi</em> (Soh & Suh, 2000)</span></div><div class=""fig_cap""><span class=""spcap"">C.-j. Shen & S.-o. Bai, 1956. Pl.VII, Figs.52-54. As <em>Acartia bifilosa</em> 52, habitus (dorsal); 53, leg 5. <strong>Female</strong>; 54, leg 5, male.</span></div><br><div class=""fig_cap""><span class=""spcap"">Q.-c Chen & S.-z. Zhang, 1965. Pl.49, 5-8. As <em>Acartia bifilosa</em>. <strong>Female</strong> (from E China Sea): 5, habitus (dorsal); 6, P5 (posterior); <strong>Male</strong>: 7, habitus (dorsal); 8, P5 (posterior).</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_hongi_01,Acartia_hongi_02",,1,101,1
275,Acartia_09a_11a_hudsonica_fig,,,,"21,22",2,,Acartia hudsonica,A.  hudsonica,"Acartia (Acartiura) hudsonica (Pinhey, 1926)",Acartiura,Acartia,Acartiidae,hudsonica,"","<div id=""figs_Acartia_hudsonica""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Acartiura) hudsonica</em> (Pinhey, 1926) (size: <a href=""#key_Acartia_9a"">female</a>, 0.74-1.32 mm; <a href=""#key_Acartia_11a"">male</a>, 0.71-1.07 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_hudsonica_01""><img src=""assets/img/sp_thumb/Acartia_hudsonica_01.png"" border=""0"" /></a><span id=""fig_Acartia_hudsonica_01"" class=""spcap"">1</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_hudsonica_02""><img src=""assets/img/sp_thumb/Acartia_hudsonica_02.png"" border=""0"" /></a><span id=""fig_Acartia_hudsonica_02"" class=""spcap"">2</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Acartiura) hudsonica</em> (Pinhey, 1926)</span></div><div class=""fig_cap""><span class=""spcap"">Carillo, Miller and Wiebe, 1974. As <em>Acartia clausi</em>. Fig.1. <em>Acartia (Acartiura) hudsonica</em> Pinhey, 1926, <strong>Male</strong> (from Yaquina Bay, Oregon) (right figure) and <em>Acartia clausi</em> (from Woods Hole) (left figure) (left figure). Interbreeding attempts between Atlantic and Pacific populations. Fig.2. <strong>Female</strong>s (from Yaquina Bay, Oregon;) (right figure) and <em>Acartia clausi</em> (from Woods Hole: Atlantic form) (left figure). Interbreeding attempts between Atlantic and Pacific populations.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_hudsonica_01,Acartia_hudsonica_02",,1,102,1
288,Acartia_06a_11b_longiremis_fig,,,,"23,24",2,,Acartia longiremis,A.  longiremis,"Acartia (Acartiura) longiremis (Lilljeborg, 1853)",Acartiura,Acartia,Acartiidae,longiremis,"","<div id=""figs_Acartia_longiremis""><div class=""blkfigure""><div class=""fig_title""><span class=""spmain""><em>Acartia (Acartiura) longiremis</em> (Lilljeborg, 1853) (size : <a href=""#key_Acartia_6a"">female</a>, 0.80-1.40 mm ; <a href=""#key_Acartia_11b"">male</a>, 0.60-1.18 mm)</span></div><span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_longiremis_01""><img src=""assets/img/sp_thumb/Acartia_longiremis_01.png"" border=""0"" /></a><span id=""fig_Acartia_longiremis_01"" class=""spcap"">Steuer</span></span> <span class=""ntwo""><a data-fancybox=""gallery"" class=""fbox"" href=""#fig_Acartia_longiremis_02""><img src=""assets/img/sp_thumb/Acartia_longiremis_02.png"" border=""0"" /></a><span id=""fig_Acartia_longiremis_02"" class=""spcap"">Mori</span></span></div><br><br><div class=""fig_title""><span class=""spcap""><em>Acartia (Acartiura) longiremis</em> (Lilljeborg, 1853)</span></div><div class=""fig_cap""><span class=""spcap"">Steuer, 1923. Figs. 15, 16, 18. <em>Acartia (Acartiura) longiremis</em> (Lilljeborg, 1853), <strong>Female</strong>: 15, urosome (dorsolateral). <strong>Male</strong>: 16, urosome (dorsal); 18, leg 5.</span></div><br><div class=""fig_cap""><span class=""spcap"">Mori, 1937. Pl.51, Figs.6-10. <em>Acartia (Acartiura) longiremis</em> (Lilljeborg, 1853), <strong>Female</strong>: 7, habitus (dorsal); 8, forehead (ventral); 10, P5. <strong>Male</strong>: 6, habitus (dorsal); 9, P5.</span></div><div class=""fig_cite""><span class=""spcap"">Adapted from Razouls C., de Bovée F., Kouwenberg J. and Desreumaux N., 2005-2020. Diversity and Geographic Distribution of Marine Planktonic Copepods. Sorbonne University, CNRS. Available at http://copepodes.obs-banyuls.fr/en [Accessed May 27 2021].</span></div></div><br><br>","Acartia_longiremis_01,Acartia_longiremis_02",,1,103,1
